Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,1,470.51,276.0,1,100.0,100
OPT_ROUTE_01,FASTEST ⚡,2,12947,AZIMABAD EXP,NAD,KOTA,04:57:00,07:25:00,221.0,4h 54m,1h 29m,1,470.51,276.0,1,100.0,100
OPT_ROUTE_02,FAST #1 ⚡,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,1,470.51,276.0,1,100.0,100
OPT_ROUTE_02,FAST #1 ⚡,2,15635,DWARKA EXPRE,NAD,KOTA,04:57:00,07:20:00,221.0,4h 54m,1h 29m,1,470.51,276.0,1,100.0,100
OPT_ROUTE_03,CHEAPEST 💰,1,11102,GWL-PUNE EXP,UJN,NAD,02:10:00,03:28:00,55.0,1h 26m,0h 0m,1,1214.39,275.0,2,100.0,95
OPT_ROUTE_03,CHEAPEST 💰,2,59804,KOTA-RTM PAS,NAD,DKNT,11:20:00,06:10:00,211.0,4h 41m,7h 52m,1,1214.39,275.0,2,100.0,95
OPT_ROUTE_03,CHEAPEST 💰,3,12465,RANTHAMBORE,DKNT,KOTA,12:10:00,12:25:00,9.0,0h 14m,6h 0m,1,1214.39,275.0,2,100.0,95
