Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,11450,SVDK-JBP EXP,NDLS,NZM,14:15:00,14:28:00,7.0,0h 13m,0h 0m,1,355.0,2162.0,1,100.0,100.0
OPT_ROUTE_01,FASTEST ⚡,2,12270,NZM-MAS DURA,NZM,MAS,15:45:00,20:10:00,2155.0,4h 25m,1h 17m,1,355.0,2162.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,1,12001,BPL - NDLS S,NDLS,LAR,23:30:00,17:23:00,481.0,17h 53m,0h 0m,0,1430.0,2160.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,2,12511,RAPTISAGAR E,LAR,MAS,18:04:00,23:20:00,1679.0,5h 16m,0h 41m,1,1430.0,2160.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,1,12622,NDLS-MAS TAM,NDLS,MAS,22:30:00,07:10:00,2163.0,8h 40m,0h 0m,1,520.0,2163.0,0,100.0,100.0
