Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,12262,HWH-CSMT DUR,HWH,CSMT,08:20:00,10:30:00,1979.0,2h 10m,0h 0m,1,130.0,1979.0,0,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,1,12101,JNANESWARI D,HWH,KYN,03:35:00,21:15:00,1919.0,17h 40m,0h 0m,0,1200.0,1972.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,2,97146,K134,KYN,CSMT,22:06:00,23:35:00,53.0,1h 29m,0h 51m,1,1200.0,1972.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,1,12101,JNANESWARI D,HWH,BD,03:35:00,06:40:00,1305.0,3h 5m,0h 0m,0,1065.0,1973.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,2,12860,HWH-CSMT GEE,BD,CSMT,10:10:00,21:20:00,668.0,11h 10m,3h 30m,1,1065.0,1973.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,1,12102,JNANESWARISU,HWH,IGP,22:50:00,02:55:00,1842.0,4h 4m,0h 0m,1,455.0,1978.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,2,12112,AMI-CSMT SF,IGP,CSMT,03:30:00,06:25:00,136.0,2h 55m,0h 35m,1,455.0,1978.0,1,100.0,100.0
