Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,11087,VRL-PUNE EXP,ADI,ST,17:00:00,20:33:00,229.0,3h 33m,0h 0m,1,635.0,2092.0,1,100.0,100.0
OPT_ROUTE_01,FASTEST ⚡,2,12905,PBR HOWRAH E,ST,HWH,21:20:00,03:35:00,1863.0,6h 15m,0h 47m,1,635.0,2092.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,1,11089,BGKTPUNE EXP,ADI,ST,16:15:00,20:00:00,228.0,3h 45m,0h 0m,1,680.0,2091.0,1,100.0,100.0
OPT_ROUTE_02,CHEAPEST 💰,2,12905,PBR HOWRAH E,ST,HWH,21:20:00,03:35:00,1863.0,6h 15m,1h 20m,1,680.0,2091.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,1,11095,AHIMSA EXPRE,ADI,ST,16:15:00,20:00:00,228.0,3h 45m,0h 0m,1,680.0,2091.0,1,100.0,100.0
OPT_ROUTE_03,BALANCED ⚖️,2,12905,PBR HOWRAH E,ST,HWH,21:20:00,03:35:00,1863.0,6h 15m,1h 20m,1,680.0,2091.0,1,100.0,100.0
OPT_ROUTE_04,BALANCED ⚖️,1,12833,ADI -HOWRAH,ADI,HWH,00:15:00,13:30:00,2097.0,13h 15m,0h 0m,1,795.0,2097.0,0,100.0,100.0
