Route ID,Category,Segment,Type,Segment ID,Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Cost,Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
OPT_ROUTE_01,FASTEST ⚡,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100,1,235.0,995,1,100.0,90
OPT_ROUTE_01,FASTEST ⚡,2,train,12182_1,AII-JBP DAYO,SWM,KOTA,19:55:00,19:45:00,108.0,1h 25m,0h 45m,895,1,235.0,995,1,100.0,90
OPT_ROUTE_02,CHEAPEST 💰,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100,1,330.0,593,1,100.0,90
OPT_ROUTE_02,CHEAPEST 💰,2,train,12968_1,JP CHENNAI E,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,493,1,330.0,593,1,100.0,90
OPT_ROUTE_03,FAST #1 ⚡,1,train,12240_1,JP BCT DURON,JP,SWM,19:10:00,19:10:00,131.0,1h 45m,0h 0m,100,1,330.0,593,1,100.0,90
OPT_ROUTE_03,FAST #1 ⚡,2,train,12976_1,JP MYS SF EX,SWM,KOTA,21:40:00,21:30:00,108.0,1h 15m,2h 30m,493,1,330.0,593,1,100.0,90
