Route ID,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration,Wait Before,Live Seat Availability,Live Fare (₹)
ROUTE_62,2,22660,DDN KCVL SUP,GZB,KOTA,12:32:00,19:45:00,477.0,7h 13m,5h 44m,UNKNOWN,0.0
ROUTE_63,1,12004,NDLS-LKO SHA,NDLS,TDL,06:10:00,08:49:00,209.0,2h 39m,0h 0m,UNKNOWN,0.0
ROUTE_63,2,12942,PARASNATH EX,TDL,KOTA,11:40:00,17:45:00,352.0,6h 5m,2h 51m,UNKNOWN,0.0
ROUTE_64,1,12004,NDLS-LKO SHA,NDLS,CNB,06:10:00,11:20:00,430.0,5h 10m,0h 0m,UNKNOWN,0.0
ROUTE_64,2,12947,AZIMABAD EXP,CNB,KOTA,19:05:00,07:25:00,572.0,12h 20m,7h 45m,UNKNOWN,0.0
ROUTE_65,1,12004,NDLS-LKO SHA,NDLS,CNB,06:10:00,11:20:00,430.0,5h 10m,0h 0m,UNKNOWN,0.0
ROUTE_65,2,22443,CNB-BDTS EXP,CNB,KOTA,18:20:00,07:05:00,699.0,12h 45m,7h 0m,UNKNOWN,0.0
ROUTE_66,1,12005,NDLS-KLK- SH,NDLS,CDG,17:15:00,20:40:00,243.0,3h 25m,0h 0m,UNKNOWN,0.0
ROUTE_66,2,12449,GOA SMPRK K,CDG,KOTA,00:00:00,10:00:00,699.0,10h 0m,3h 20m,UNKNOWN,0.0
ROUTE_67,1,12005,NDLS-KLK- SH,NDLS,CDG,17:15:00,20:40:00,243.0,3h 25m,0h 0m,UNKNOWN,0.0
ROUTE_67,2,12450,GOA SMPRK KR,CDG,KOTA,02:05:00,13:10:00,700.0,11h 5m,5h 25m,UNKNOWN,0.0
ROUTE_68,1,12015,NDLS-AII SHA,NDLS,KSG,06:05:00,12:12:00,413.0,6h 7m,0h 0m,UNKNOWN,0.0
ROUTE_68,2,12182,AII-JBP DAYO,KSG,KOTA,15:58:00,21:20:00,345.0,5h 22m,3h 46m,UNKNOWN,0.0
ROUTE_69,1,12015,NDLS-AII SHA,NDLS,AII,06:05:00,12:45:00,442.0,6h 40m,0h 0m,UNKNOWN,0.0
ROUTE_69,2,18010,AII-SRC EXP,AII,KOTA,19:25:00,02:25:00,357.0,7h 0m,6h 40m,UNKNOWN,0.0
ROUTE_70,1,12015,NDLS-AII SHA,NDLS,KSG,06:05:00,12:12:00,413.0,6h 7m,0h 0m,UNKNOWN,0.0
ROUTE_70,2,18208,AII  - DURG,KSG,KOTA,19:59:00,01:35:00,345.0,5h 36m,7h 47m,UNKNOWN,0.0
ROUTE_71,1,12015,NDLS-AII SHA,NDLS,AII,06:05:00,12:45:00,442.0,6h 40m,0h 0m,UNKNOWN,0.0
ROUTE_71,2,19608,AII KOAA EXP,AII,KOTA,19:25:00,02:20:00,358.0,6h 55m,6h 40m,UNKNOWN,0.0
ROUTE_72,1,12015,NDLS-AII SHA,NDLS,JP,06:05:00,10:40:00,308.0,4h 35m,0h 0m,UNKNOWN,0.0
ROUTE_72,2,11204,JAIPUR NAGPU,JP,KOTA,16:30:00,02:30:00,492.0,10h 0m,5h 50m,UNKNOWN,0.0
ROUTE_73,1,12015,NDLS-AII SHA,NDLS,JP,06:05:00,10:40:00,308.0,4h 35m,0h 0m,UNKNOWN,0.0
ROUTE_73,2,12939,PUNE JAIPUR,JP,KOTA,13:40:00,09:20:00,239.0,19h 40m,3h 0m,UNKNOWN,0.0
ROUTE_74,1,12015,NDLS-AII SHA,NDLS,JP,06:05:00,10:40:00,308.0,4h 35m,0h 0m,UNKNOWN,0.0
ROUTE_74,2,12956,JP BCT SUPFA,JP,KOTA,14:00:00,17:25:00,239.0,3h 25m,3h 20m,UNKNOWN,0.0
ROUTE_75,1,12015,NDLS-AII SHA,NDLS,JP,06:05:00,10:40:00,308.0,4h 35m,0h 0m,UNKNOWN,0.0
ROUTE_75,2,22934,JP BDTS SF E,JP,KOTA,12:45:00,16:50:00,239.0,4h 4m,2h 5m,UNKNOWN,0.0
