Route ID,Category,Segment,Train Number,Train Name,From,To,Departure,Arrival,Distance (km),Duration (min),Wait Before (min),Seat Available,Total Time (min),Total Cost (₹),Total Transfers,Seat Probability (%),Safety Score
ROUTE_01,FASTEST ⚡,1,12473,SARVODAYA EX,ADI,SGZ,11:30:00,20:03:00,497.0,596.4,0.0,1,801.66,627.0,1,100.0,100
ROUTE_01,FASTEST ⚡,2,12473,SARVODAYA EX,SGZ,KOTA,20:05:00,21:40:00,130.0,205.26,0.0,1,801.66,627.0,1,100.0,100
ROUTE_02,CHEAPEST 💰,1,19165,SABARMATI EX,ADI,RTM,21:00:00,03:20:00,361.0,433.2,0.0,1,956.53,626.0,1,100.0,100
ROUTE_02,CHEAPEST 💰,2,12937,GARBHA EXPRE,RTM,KOTA,06:10:00,09:40:00,265.0,353.33,170.0,1,956.53,626.0,1,100.0,100
ROUTE_03,FAST #3 ⚡,1,19165,SABARMATI EX,ADI,RTM,21:00:00,03:20:00,361.0,433.2,0.0,1,956.53,626.0,1,100.0,100
ROUTE_03,FAST #3 ⚡,2,12937,GARBHA EXPRE,RTM,KOTA,06:10:00,09:40:00,265.0,353.33,170.0,1,956.53,626.0,1,100.0,100
